1.3255,0.49485,1.6594,2.2629,2.3435,0.57467,1.369,1.3855,1.6992,1.6292,0.41979,4.6826,3.25,3.5406,3.0753,1.0203
1.1572,1.1971,2.4543,3.7309,3.8109,0.61252,2.1752,1.4541,2.1699,2.2723,0.46943,4.6467,4.2024,6.2617,5.28,0.40718
1.2703,1.2037,3.4212,4.6371,4.4229,0.88051,2.3404,2.32,2.8024,2.868,0.43179,5.7563,5.2544,7.8819,6.839,0.43266
1.5546,1.0771,2.7559,4.4149,4.5913,0.79386,2.0703,1.6998,2.6577,2.6379,0.35516,5.6499,5.217,5.9487,4.9606,0.49358
1.6169,0.98801,2.3321,3.7122,3.1422,0.90546,2.2208,1.5422,2.2566,2.285,0.6181,4.9422,4.3408,5.1142,4.8771,0.53534
1.9607,0.95188,3.2654,5.0349,4.1602,0.72255,4.24,1.832,3.5222,3.525,0.78099,5.3624,4.6682,7.4805,6.2231,0.87024
1.8765,1.7915,3.0087,4.4919,3.7679,0.90685,2.6009,2.0824,2.8564,2.9382,0.74834,6.0074,5.6121,7.3572,6.0551,0.78344
1.866,1.1626,2.6629,3.9599,3.4121,0.90083,2.8082,2.0424,2.7504,2.8025,0.7827,4.6031,4.9353,6.1438,5.1273,0.71226
1.3286,0.64762,1.3246,2.1939,2.0977,0.84618,1.3051,1.5025,1.2958,1.3226,0.56172,4.4443,3.3507,2.6981,3.1122,0.50026
3.171,1.1402,4.4473,6.849,6.0706,1.1601,4.5467,1.5919,5.2166,5.3155,0.84355,6.6942,7.3923,8.1478,6.2384,1.1264
1.1228,0.70057,1.3865,2.2802,1.9756,0.70041,2.3032,1.7552,1.3757,1.3935,0.78781,3.7145,3.1028,2.6338,3.5978,0.6184
2.5925,0.92862,3.788,5.53,4.8892,1.1074,2.797,1.7094,4.2875,4.5024,0.39012,6.5204,6.5159,6.8793,6.0165,0.77373
1.7287,0.75449,2.5699,3.6154,3.2531,0.93458,2.2009,1.3294,2.8999,3.0162,0.45471,4.9085,4.8632,4.6786,4.4017,0.59785
1.8527,0.84744,3.0821,4.0871,3.4495,0.73054,2.9089,1.3548,3.1246,3.2271,0.58923,5.204,4.7718,4.8668,4.6832,0.57523
2.2953,0.97539,3.1088,4.6586,3.889,0.94523,3.0599,1.6358,3.6026,3.7981,0.67823,6.6626,4.9532,5.2452,5.2678,0.88567
1.6147,0.69899,2.3764,3.3627,2.791,0.79593,1.7318,1.5483,2.2414,2.3155,0.52637,5.4522,4.2216,3.3487,3.9596,0.5073
2.7583,0.72612,3.6919,5.703,4.7632,1.0647,3.133,1.5878,4.1086,4.3164,0.75201,6.3836,5.9729,6.3078,5.1144,0.69681
2.6873,1.2333,4.4651,6.7283,5.7306,1.2724,4.3829,2.3736,5.0238,5.2588,0.74102,7.7509,8.132,9.0318,6.897,0.73361
1.341,1.3103,2.4337,4.0509,3.0538,1.0918,1.5079,3.1568,1.6613,1.7546,0.4515,6.4888,5.1879,5.4092,5.9604,0.52878
2.4587,0.94507,3.9829,5.9953,5.1893,1.3383,3.7498,2.0304,4.078,4.3158,0.62232,6.3156,6.7895,7.2772,5.7187,0.62193
1.4802,1.3522,2.9257,4.2332,3.5211,1.0079,2.8362,2.2716,2.4934,2.5627,0.83119,5.2935,5.087,5.9003,6.2978,0.606
1.8893,0.7427,2.3528,3.5805,3.3838,0.74421,2.6418,1.3165,2.52,2.6488,0.46913,4.3831,4.1118,4.3183,4.1509,0.565
2.205,1.0164,3.1909,4.6342,4.0579,0.86292,3.8007,1.4428,3.3482,3.4884,1.0075,4.999,4.6531,5.2243,4.917,0.67658
2.6829,0.8022,4.7966,5.1078,3.5051,1.186,2.9085,1.1134,3.6691,3.6563,0.61711,5.6712,4.984,5.8169,3.2207,0.6643
3.181,0.82864,5.5142,6.2372,4.4332,1.1597,3.3231,1.0305,4.6525,4.3948,0.91858,6.3941,6.142,5.976,2.9931,0.70059
2.1012,0.82804,6.3799,6.9984,4.018,0.93553,4.08,1.032,4.8078,4.421,0.6523,5.4707,6.2449,8.1821,4.3209,0.66588
1.9147,1.3967,5.4431,6.6629,5.025,1.0337,4.5223,1.5293,5.1643,5.0396,1.2086,5.0524,6.4082,10.595,6.4914,0.51628
2.1083,1.153,5.5239,5.1694,3.1323,1.1264,2.695,1.3466,4.3426,3.9919,0.61522,6.1842,5.9016,6.6558,3.2077,0.67862
1.7413,0.74262,4.1597,3.3326,1.5913,0.7603,1.7,0.96399,2.1124,1.7608,0.78488,4.8901,2.9373,2.3919,1.2166,0.69739
1.0434,1.4,1.0492,1.5001,1.3971,1.2231,0.41054,1.6953,0.2009,0.15208,0.43056,1.3263,2.9254,3.8471,5.2363,0.52104
0.63037,1.2409,0.93888,1.1736,1.3233,1.7281,1.0815,1.6744,0.34989,0.19606,1.1326,1.8832,4.6297,3.6466,5.0377,0.68623
1.3473,1.6132,1.7613,2.2201,2.1909,1.6788,2.0804,2.609,0.65139,0.56896,1.1309,2.1888,5.7672,5.184,6.7475,0.67983
0.88435,1.3988,1.0758,1.696,1.4309,1.3063,0.95361,2.1933,0.40948,0.34915,0.76939,2.0042,4.4282,5.1179,7.5096,0.32804
1.0572,1.2469,1.7167,2.4473,2.1536,1.2699,1.1388,2.0013,0.80927,1.0823,0.72581,3.3715,8.3481,7.8803,7.197,0.5966
